"id","title","release_date","popularity","vote_average","vote_count","budget","revenue","runtime","Year","Film","Producer(s)","Year_Numeric","Is_Oscar_Winner"
10867,"Malena","2000-10-27",310.2717,7.429,2495,0,14493284,108,NA,NA,NA,NA,"No"
98,"Gladiator","2000-05-04",18.1786,8.225,20801,103000000,465516248,155,"2000(73rd)","Gladiator","Douglas Wick, David Franzoni, and Branko Lustig",2000,"Yes"
4247,"Scary Movie","2000-07-07",15.0388,6.39,7710,19000000,278023280,88,NA,NA,NA,NA,"No"
1359,"American Psycho","2000-04-13",10.7801,7.408,12218,7000000,34269748,102,NA,NA,NA,NA,"No"
11688,"The Emperor's New Groove","2000-12-15",10.7331,7.558,7260,100000000,169327687,78,NA,NA,NA,NA,"No"
77,"Memento","2000-10-11",10.4553,8.177,16151,9000000,40060108,113,NA,NA,NA,NA,"No"
16366,"Joseph: King of Dreams","2000-11-07",10.4518,6.9,1066,0,0,74,NA,NA,NA,NA,"No"
4327,"Charlie's Angels","2000-11-02",8.6804,5.853,4492,92000000,264105545,98,NA,NA,NA,NA,"No"
107,"Snatch","2000-09-01",8.6729,7.821,9927,100000000,83557872,103,NA,NA,NA,NA,"No"
843,"In the Mood for Love","2000-09-29",8.4902,8.088,3233,3000000,15867968,99,NA,NA,NA,NA,"No"
3134,"Baise-moi","2000-06-28",7.9066,4.837,484,0,940944,77,NA,NA,NA,NA,"No"
8358,"Cast Away","2000-12-22",7.8639,7.661,12221,90000000,429632142,143,NA,NA,NA,NA,"No"
9532,"Final Destination","2000-03-17",7.326,6.635,6628,23000000,112880294,98,NA,NA,NA,NA,"No"
11678,"Vertical Limit","2000-12-08",7.3175,5.993,1136,75000000,215663859,124,NA,NA,NA,NA,"No"
1907,"The Beach","2000-02-03",7.133,6.484,4691,40000000,144056873,119,NA,NA,NA,NA,"No"
955,"Mission: Impossible II","2000-05-24",6.9736,6.144,7533,125000000,546388108,123,NA,NA,NA,NA,"No"
8871,"How the Grinch Stole Christmas","2000-11-17",6.7674,6.779,8249,123000000,345800000,105,NA,NA,NA,NA,"No"
146,"Crouching Tiger, Hidden Dragon","2000-07-06",6.5719,7.435,3544,17000000,213978518,120,NA,NA,NA,NA,"No"
7443,"Chicken Run","2000-06-23",6.49,6.84,5383,45000000,224834564,84,NA,NA,NA,NA,"No"
5458,"Cruel Intentions 2","2000-11-09",6.3837,5.077,424,0,0,87,NA,NA,NA,NA,"No"
4234,"Scream 3","2000-02-04",6.3174,6.009,4023,40000000,161838076,116,NA,NA,NA,NA,"No"
6282,"Coyote Ugly","2000-07-30",6.0772,6.263,2266,45000000,113900000,100,NA,NA,NA,NA,"No"
10501,"The Road to El Dorado","2000-03-31",6.0031,7.256,4022,95000000,76400000,89,NA,NA,NA,NA,"No"
2123,"Me, Myself & Irene","2000-06-22",5.9733,6.6,4219,51000000,149270999,117,NA,NA,NA,NA,"No"
9383,"Hollow Man","2000-08-04",5.9488,5.961,2752,95000000,190213455,112,NA,NA,NA,NA,"No"
3981,"What Women Want","2000-12-15",5.9469,6.5,4361,70000000,374100000,127,NA,NA,NA,NA,"No"
2024,"The Patriot","2000-06-28",5.881,7.185,4274,110000000,215294342,165,NA,NA,NA,NA,"No"
641,"Requiem for a Dream","2000-10-06",5.832,8.012,10915,4500000,7390108,102,NA,NA,NA,NA,"No"
20677,"Detective Conan: Captured in Her Eyes","2000-04-22",5.6605,7.4,199,0,23211413,100,NA,NA,NA,NA,"No"
9741,"Unbreakable","2000-11-22",5.6565,7.144,9892,75000000,248118121,106,NA,NA,NA,NA,"No"
10637,"Remember the Titans","2000-09-29",5.6022,7.641,2918,30000000,136700000,113,NA,NA,NA,NA,"No"
1597,"Meet the Parents","2000-10-06",5.5648,6.694,6362,55000000,330444045,108,NA,NA,NA,NA,"No"
10991,"Pokémon 3: The Movie","2000-07-08",5.535,6.5,681,16000000,68452128,73,NA,NA,NA,NA,"No"
9679,"Gone in Sixty Seconds","2000-06-09",5.5241,6.457,4842,90000000,237200000,118,NA,NA,NA,NA,"No"
3176,"Battle Royale","2000-12-16",5.5145,7.269,3794,4500000,30600000,113,NA,NA,NA,NA,"No"
10567,"Dinosaur","2000-05-19",5.2995,6.557,2723,127500000,354248063,82,NA,NA,NA,NA,"No"
9600,"Big Momma's House","2000-05-31",5.108,5.817,2453,30000000,173959438,98,NA,NA,NA,NA,"No"
40096,"A Dog's Will","2000-09-15",4.9982,8.41,1218,0,4903192,104,NA,NA,NA,NA,"No"
392,"Chocolat","2000-12-22",4.9219,6.973,3495,25000000,152700626,121,NA,NA,NA,NA,"No"
2133,"The Perfect Storm","2000-06-29",4.8993,6.481,2542,130000000,328718434,130,NA,NA,NA,NA,"No"
479,"Shaft","2000-06-15",4.6885,6.009,1442,46000000,107626125,99,NA,NA,NA,NA,"No"
9285,"Road Trip","2000-05-19",4.674,6.239,2170,16000000,119754278,93,NA,NA,NA,NA,"No"
2655,"What Lies Beneath","2000-07-21",4.6677,6.436,2015,100000000,291420351,130,NA,NA,NA,NA,"No"
25538,"Yi Yi","2000-09-20",4.6578,7.949,665,0,1528767,174,NA,NA,NA,NA,"No"
1493,"Miss Congeniality","2000-12-22",4.6056,6.522,4210,45000000,2.12e+08,110,NA,NA,NA,NA,"No"
462,"Erin Brockovich","2000-03-17",4.5857,7.435,3626,52000000,256271286,131,NA,NA,NA,NA,"No"
1636,"Bedazzled","2000-10-19",4.564,6.102,2100,48000000,90383208,93,NA,NA,NA,NA,"No"
786,"Almost Famous","2000-09-15",4.4391,7.5,3083,60000000,47386287,124,NA,NA,NA,NA,"No"
8843,"The Cell","2000-08-18",4.4327,6.264,1698,33000000,104155843,107,NA,NA,NA,NA,"No"
105904,"Naked Poison","2000-09-23",4.427,6.115,26,0,0,88,NA,NA,NA,NA,"No"
1900,"Traffic","2000-12-27",4.395,7.086,2396,48000000,207500000,147,NA,NA,NA,NA,"No"
2085,"Romeo Must Die","2000-03-22",4.3236,6.266,1329,25000000,91036760,115,NA,NA,NA,NA,"No"
2046,"The Gift","2000-12-22",4.2725,6.478,1375,10000000,12008642,112,NA,NA,NA,NA,"No"
11978,"Men of Honor","2000-09-13",4.1654,7.483,2486,32000000,82300000,129,NA,NA,NA,NA,"No"
1443,"The Virgin Suicides","2000-04-21",4.1407,7.1,3585,6000000,10409377,97,NA,NA,NA,NA,"No"
134,"O Brother, Where Art Thou?","2000-08-30",4.1014,7.329,4568,26000000,71877090,107,NA,NA,NA,NA,"No"
55,"Amores Perros","2000-06-16",4.0892,7.637,2899,2000000,20908467,154,NA,NA,NA,NA,"No"
10471,"Next Friday","2000-01-12",4.0838,6.485,643,11000000,59827328,98,NA,NA,NA,NA,"No"
2440,"Joint Security Area","2000-09-09",3.951,7.828,824,12500000,0,108,NA,NA,NA,NA,"No"
9678,"Little Nicky","2000-11-10",3.9506,5.844,1969,85000000,58292295,90,NA,NA,NA,NA,"No"
4244,"The Kid","2000-07-07",3.9114,6.757,1109,65000000,110317580,104,NA,NA,NA,NA,"No"
10559,"Frequency","2000-04-28",3.9058,7.274,1995,31000000,68106245,118,NA,NA,NA,NA,"No"
71,"Billy Elliot","2000-09-28",3.8994,7.593,4071,5000000,109280263,111,NA,NA,NA,NA,"No"
19576,"One Piece: The Movie","2000-03-04",3.8044,7.057,387,0,0,51,NA,NA,NA,NA,"No"
20770,"But I'm a Cheerleader","2000-07-07",3.8039,7,818,1200000,2600000,85,NA,NA,NA,NA,"No"
10647,"Pay It Forward","2000-10-20",3.6543,7.4,1986,40000000,55707411,122,NA,NA,NA,NA,"No"
5994,"The Family Man","2000-12-12",3.5989,6.815,2192,60000000,124700000,125,NA,NA,NA,NA,"No"
8584,"Shanghai Noon","2000-05-26",3.5879,6.415,2748,55000000,99274467,110,NA,NA,NA,NA,"No"
10571,"Boys and Girls","2000-06-16",3.5873,5.955,418,16000000,20627372,94,NA,NA,NA,NA,"No"
243,"High Fidelity","2000-03-17",3.5394,7.138,2183,30000000,47100000,113,NA,NA,NA,NA,"No"
49948,"Fantasia 2000","2000-01-01",3.4923,6.973,1367,80000000,60655420,74,NA,NA,NA,NA,"No"
3536,"U-571","2000-04-20",3.4253,6.523,1346,62000000,127700000,116,NA,NA,NA,NA,"No"
8452,"The 6th Day","2000-11-17",3.4011,5.999,2249,82000000,96085477,123,NA,NA,NA,NA,"No"
